brand,total_reviews
SEPHORA COLLECTION,121095
Too Faced,88405
Urban Decay,87273
Benefit Cosmetics,87237
KVD Vegan Beauty,86103
CLINIQUE,85435
tarte,80230
Anastasia Beverly Hills,77497
NARS,68949
bareMinerals,66063
Fresh,58493
FENTY BEAUTY by Rihanna,57578
Lancôme,53575
Laura Mercier,49533
Hourglass,48665
Smashbox,47713
MAKE UP FOR EVER,46536
Marc Jacobs Beauty,42362
Origins,39524
philosophy,35914
Dior,35395
MILK MAKEUP,33189
OLEHENRIKSEN,31842
BECCA,30831
Yves Saint Laurent,26968
HUDA BEAUTY,25560
Buxom,24480
First Aid Beauty,24188
Bumble and bumble,24060
Drunk Elephant,23907
GLAMGLOW,23349
Josie Maran,22713
Caudalie,21637
Peter Thomas Roth,21406
Bobbi Brown,20636
Tatcha,20623
Living Proof,19260
beautyblender,19178
LANEIGE,18624
Murad,17559
Shiseido,17324
IT Cosmetics,17195
Sol de Janeiro,16445
boscia,15893
Dr. Jart+,15015
SUNDAY RILEY,14996
stila,14314
Dr. Dennis Gross Skincare,14282
Perricone MD,14229
Armani Beauty,13947
Farmacy,13236
The Ordinary,12526
Kate Somerville,12073
Briogeo,12026
Kiehl's Since 1851,10997
Viktor&Rolf,10781
KORRES,10629
belif,10624
Drybar,10540
Rosebud Perfume Co.,10500
Charlotte Tilbury,10195
Estée Lauder,9706
OUAI,9141
Youth To The People,8919
Moroccanoil,8886
PAT McGRATH LABS,8670
Dr. Brandt Skincare,8619
Glow Recipe,8439
Givenchy,8394
REN Clean Skincare,7996
Algenist,7974
The INKEY List,7861
Supergoop!,7731
Natasha Denona,7475
Clarins,7325
TOM FORD,7166
Saturday Skin,7113
ALTERNA Haircare,6978
Gucci,6702
Herbivore,6593
amika,6583
Jack Black,6547
L'Occitane,6540
AMOREPACIFIC,6386
Guerlain,6315
Biossance,6274
FARSÁLI,6266
Kaja,6180
DOLCE&GABBANA,6109
Bite Beauty,5906
Summer Fridays,5402
Verb,5243
IGK,5056
Dermalogica,5036
Peace Out,4942
COVER FX,4868
Maison Margiela,4860
DevaCurl,4825
Olaplex,4795
St. Tropez,4707
ILIA,4676
Grande Cosmetics,4377
Blinc,4056
Kopari,3849
Marc Jacobs Fragrances,3526
Christophe Robin,3393
CLEAN RESERVE,3365
Versace,3299
KEVYN AUCOIN,3143
LANCER Skincare,3124
NUDESTIX,3066
TOCCA,3054
Pink Sugar,3047
CHANEL,3042
Chloé,3031
Ciaté London,2987
Ralph Lauren,2944
